section,subsection,component_id,description,selling_price_gbp,lead_time_days
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P258,Cylinder Thermostat,74.95,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2582,British/Scottish Gas CP4 RF Cylinder Thermostat,163.86,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2276,Hive Wireless Programmable T/stat & Receiver,156.0,0
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2290,Boiler + Worcester Bosch Greenstar Sense I Room Stat with Load Compensat,169.89,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2291,Boiler + Worcester Bosch Weather Sensor (not compatible with Cdi Classic,188.19,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2292,Boiler + Vaillant timeSWITCH 150 & VRT50 Thermostat incs Load Compensati,175.25,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P1471,Honeywell Digital Wireless Room Thermostat (Boiler Plus Compliant),67.45,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2295,Boiler + Worcester Bosch DHW Recuperator,304.39,5
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P208,Install Intelligent Controls,80.97,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2082,Install Worcester Digital Timer,110.23,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2083,Install Worcester Digistat,279.42,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P0019,Drayton Digistat Dual Channel RF Digistat,116.13,0
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P211,Worc 28i Jnr Remote Mechanical Timer/Stat,326.87,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2581,Install Gravity Water Cylinder Control (tapstat),258.55,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P2871,Carbon Monoxide Alarm for Scotland and England (7yr Warranty),33.26,1
Heat Pumps,Controls ***UPGRADE ONLY JOBS ONLY i.e. No Boiler***,P9054,Daikin Madoka Control Pack,140.0,0
